config,context_samples,horizon_samples,context_sec,horizon_sec,filename,window_end_sec,cardiac_hr_snr,hr_bpm,nrmse_chronos,latency_ms
6s context + 2s horizon,60,20,6.0,2.0,Baseline_isometrico_baseline.txt,48.0,0.015716337917241,75.0,0.3230957090854645,465.3916999996
6s context + 2s horizon,60,20,6.0,2.0,Baseline_isometrico_baseline.txt,53.0,0.0159404132838594,75.0,0.701576292514801,438.01040000016656
6s context + 2s horizon,60,20,6.0,2.0,Baseline_isometrico_baseline.txt,58.0,0.0116775549402537,75.0,0.4061299264431,429.1708999999173
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,8.0,0.0878724648524504,60.0,0.3393459022045135,508.8864999997895
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,13.0,0.0577138997091354,60.0,0.1903771311044693,411.566099999618
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,18.0,0.149018622752331,60.0,0.4255705177783966,418.6681999999564
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,23.0,0.1107306786878559,60.0,0.5691369771957397,411.8705000000773
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,28.0,0.149996188648414,60.0,0.3389783799648285,416.0835000002408
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,33.0,0.1134298146095035,60.0,0.4533403515815735,410.5847000000722
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,38.0,0.1744963049671023,60.0,0.6159840226173401,424.6249999996508
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,43.0,0.1282783305783412,60.0,0.4046160876750946,412.3787999997148
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,48.0,0.0888012103057965,60.0,0.9523891806602478,412.83280000061495
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,53.0,0.1681922430890884,60.0,0.2881795763969421,417.7583999999115
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,58.0,0.1616570190730538,60.0,0.387040227651596,415.5737000000954
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,63.0,0.1227127932941306,60.0,0.2574674189090729,409.8536000001332
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,68.0,0.1272252748542718,60.0,0.3628627955913543,411.5585999998075
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,73.0,0.1742704356276149,60.0,0.2178389728069305,413.118299999951
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,78.0,0.1326619010683204,60.0,0.5869587659835815,413.5741999998572
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,83.0,0.16711834173147,60.0,0.4672116041183471,411.6238999995403
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,88.0,0.1637558400768044,60.0,0.2889827191829681,413.57719999996334
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,93.0,0.1179405248907196,60.0,0.2225258648395538,413.91569999996136
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,98.0,0.1881387269830243,60.0,0.2331561893224716,408.4047999995164
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,103.0,0.1331050179996597,60.0,0.3405950963497162,413.5716999999204
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,108.0,0.1601710865549278,60.0,0.452245831489563,411.0322000005908
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,113.0,0.184962093843374,60.0,0.3354832231998443,415.6623999997464
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,118.0,0.1537629010968397,60.0,0.3237127661705017,408.8277999999264
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,123.0,0.1794884947957689,60.0,0.881216287612915,410.896600000342
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,128.0,0.2092879232877927,60.0,0.1680352538824081,406.23690000029455
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,133.0,0.1762197439334022,60.0,0.2708118259906769,416.7138000002524
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,138.0,0.1745524353895863,60.0,0.7464443445205688,415.581100000054
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,143.0,0.1666519872318801,60.0,0.1353549659252166,407.2089000001142
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,148.0,0.148188714402872,60.0,0.4083330631256103,412.7951000000394
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,153.0,0.1679950924824936,60.0,0.2613981068134308,412.3064000004888
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,158.0,0.1613150945770269,60.0,0.4109137058258056,413.51680000025226
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,163.0,0.1622235845175759,60.0,0.1669037491083145,412.2429000008197
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,168.0,0.1480458975498301,60.0,0.2921626269817352,411.7443999994066
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,173.0,0.1505802845966874,60.0,0.2689301967620849,411.3301999996111
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,178.0,0.1841322051546242,60.0,0.4984469413757324,417.9238999995505
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,183.0,0.1694979638751041,60.0,0.3002056777477264,417.95709999951214
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,188.0,0.1968785366303503,60.0,0.2585273683071136,412.3832999994193
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,193.0,0.2195874528724249,60.0,0.4421145319938659,417.73920000014186
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,198.0,0.2287900751816163,60.0,0.3234642446041107,415.9865000001446
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,203.0,0.2158011604107362,60.0,0.3278059065341949,454.9775000004957
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,208.0,0.1742780823663922,60.0,0.3856155574321747,419.6603000000323
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,213.0,0.1616617920989407,60.0,0.2393293231725692,409.4107999999324
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,218.0,0.1547324702783337,60.0,0.2622914314270019,413.4539999995468
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,223.0,0.209159786365559,60.0,0.232361689209938,414.56879999987
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,228.0,0.1730724020422233,60.0,0.3445315957069397,420.8730999998807
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,233.0,0.1844675031466798,60.0,0.3991170823574066,435.93909999981406
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,238.0,0.1530449074073253,60.0,0.7133923768997192,410.32770000038
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,243.0,0.1542766552907185,60.0,0.4906348288059234,417.4606999995376
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,248.0,0.1416917247263307,60.0,0.3740827441215515,413.4723999995913
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,253.0,0.1553762828873617,60.0,0.4851839244365692,420.0276000001395
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,258.0,0.1908661683605192,60.0,0.2461918890476226,414.7127999995064
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,263.0,0.1206248378692569,60.0,0.3029893040657043,414.02709999965737
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,268.0,0.132537661401018,60.0,1.0117976665496826,419.4600000000719
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,273.0,0.1607506468276108,60.0,0.2102104574441909,414.9734000002354
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,278.0,0.3375880081255515,60.0,0.5340177416801453,412.3214999999618
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,283.0,0.2212824039460483,60.0,0.4534918665885925,417.51100000055885
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,288.0,0.1612997159429527,60.0,0.3723970651626587,408.4828999993988
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,293.0,0.165104164827563,60.0,0.6242372393608093,412.0833999995739
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,298.0,0.1759540992883894,60.0,0.4859737455844879,414.2123000001448
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,303.0,0.1941456446353302,60.0,0.505881130695343,414.0445000002728
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,308.0,0.1877012903011872,60.0,0.2389018535614013,412.69130000000587
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,313.0,0.1782950301152153,60.0,0.2740051746368408,410.3694999994332
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,318.0,0.1796074406322768,60.0,0.3578471541404724,413.3875999996235
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,323.0,0.1994431772694605,60.0,0.2587035298347473,410.41279999990365
